2019-05-19 16:07:34 [main-270] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2019-05-19 16:07:35 [main-295] INFO  org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2019-05-19 16:07:35 [main-306] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext initialized in 1165 ms
2019-05-19 16:07:35 [main-31] INFO  com.ky.gps.listener.GPSThreadLietener - ----------- GPS解析系统启动 -----------
2019-05-19 16:07:35 [main-40] INFO  com.ky.gps.listener.GPSThreadLietener - ----------- GPS信号监听开始 -----------
2019-05-19 16:07:35 [MyThread-25] INFO  com.ky.gps.server.StartThread - -------------监听端口GPSport: 20086-------------
2019-05-19 16:07:35 [main-524] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'springDispatcherServlet'
2019-05-19 16:07:36 [main-546] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 643 ms
2019-05-19 16:07:38 [MyThread-460] WARN  io.netty.bootstrap.ServerBootstrap - Unknown channel option 'TCP_NODELAY' for channel '[id: 0x1b905ebc]'
2019-05-19 16:07:38 [MyThread-85] INFO  com.ky.gps.server.StartThread - 监听服务开启：Thread[MyThread,5,main] Sun May 19 16:07:38 CST 2019
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-32] INFO  com.ky.gps.server.StartThread - Client: [id: 0x519d0a0d, L:/60.12.85.238:20086 - R:/112.17.236.102:36759] --> 连接成功! 
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-55] INFO  com.ky.gps.server.StartThread - 接收: ServerHandler#0-->msg: PooledSlicedByteBuf(ridx: 0, widx: 22, cap: 22/22, unwrapped: PooledUnsafeDirectByteBuf(ridx: 23, widx: 23, cap: 1024))
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-62] INFO  com.ky.gps.server.StartThread - 接收客户端数据:TRVAP00861903660100873
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-33] INFO  com.ky.gps.util.ParseGPSUtil - GPS:861903660100873 登录成功
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-29] INFO  com.ky.gps.server.ParseGPS - GPS:861903660100873 信息接收
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-97] INFO  com.ky.gps.server.StartThread - {当前线程: [存活: 62|参数: Thread[nioEventLoopGroup-3-1,10,main]|状态: RUNNABLE}
2019-05-19 16:33:36 [nioEventLoopGroup-3-1-152] INFO  com.ky.gps.server.StartThread - 信息交互完毕...

